"Pimgento_Api::Create or update product entities","Create or update product entities"
"Pimgento_Api::Create temporary table","Create temporary table"
"Pimgento_Api::Create URL key","Create URL key"
"Pimgento_Api::Default Tax Class","Default Tax Class"
"Pimgento_Api::Delete","Delete"
"Pimgento_Api::Detect configurable products","Detect configurable products"
"Pimgento_Api::Differ","Differ"
"Pimgento_Api::Disabled","Disabled"
"Pimgento_Api::Drop temporary table","Drop temporary table"
"Pimgento_Api::Duplicates sku detected. Make sure Product Model code is not used for a simple product sku. Duplicates: %1$s","Duplicates sku detected. Make sure Product Model code is not used for a simple product sku. Duplicates: %1$s"
"Pimgento_Api::Enabled","Enabled"
"Pimgento_Api::Enterprise","Enterprise"
"Pimgento_Api::Entity code not set in %s","Entity code not set in %s"
"Pimgento_Api::Entity matching successful","Entity matching successful"
"Pimgento_Api::Entity type matched successfully","Entity type matched successfully"
"Pimgento_Api::Equals","Equals"
"Pimgento_Api::Example: description > meta_description","Example: description > meta_description"
"Pimgento_Api::Extension Version","Extension Version"
"Pimgento_Api::Families","Families"
"Pimgento_Api::Family matched successfully","Family matched successfully"
"Pimgento_Api::Family Variant from PIM.","Family Variant from PIM."
"Pimgento_Api::Family Variant","Family Variant"
"Pimgento_Api::Family","Family"
"Pimgento_Api::Fill configurable attributes with default value, leave blank to take simple product value or Product Model value if exists. Value must be a chain between quotes or an SQL statement.","Fill configurable attributes with default value, leave blank to take simple product value or Product Model value if exists. Value must be a chain between quotes or an SQL statement."
"Pimgento_Api::Fill data into temporary table","Fill data into temporary table"
"Pimgento_Api::Fill temporary table","Fill temporary table"
"Pimgento_Api::Found in your Akeneo configuration : System / API connections","Found in your Akeneo configuration : System / API connections"
"Pimgento_Api::General","General"
"Pimgento_Api::Greater or equals than on all locales","Greater or equals than on all locales"
"Pimgento_Api::Greater or equals than","Greater or equals than"
"Pimgento_Api::Greater than on all locales","Greater than on all locales"
"Pimgento_Api::Greater than","Greater than"
"Pimgento_Api::Has to be a value between 0 and 100","Has to be a value between 0 and 100"
"Pimgento_Api::Import Asset Files","Import Asset Files"
"Pimgento_Api::Import attribute from PIM.","Import attribute from PIM."
"Pimgento_Api::Import attribute options","Import attribute options"
"Pimgento_Api::Import category from PIM.","Import category from PIM."
"Pimgento_Api::Import family from PIM.","Import family from PIM."
"Pimgento_Api::Import Media Files","Import Media Files"
"Pimgento_Api::Import media files","Import media files"
"Pimgento_Api::Import only product updated after the given date. Leave at least one blank for no filter.","Import only product updated after the given date. Leave at least one blank for no filter."
"Pimgento_Api::Import only product updated after the given date. Leave blank for no filter.","Import only product updated after the given date. Leave blank for no filter."
"Pimgento_Api::Import only product updated before the given date. Leave at least one blank for no filter.","Import only product updated before the given date. Leave at least one blank for no filter."
"Pimgento_Api::Import only product updated before the given date. Leave blank for no filter.","Import only product updated before the given date. Leave blank for no filter."
"Pimgento_Api::Import only product updated since last X days. Leave blank for no filter.","Import only product updated since last X days. Leave blank for no filter."
"Pimgento_Api::Import product from PIM.","Import product from PIM."
"Pimgento_Api::Import Product Model from PIM.","Import Product Model from PIM."
"Pimgento_Api::Newly imported categories will be activated","Newly imported categories will be activated"
"Pimgento_Api::Newly imported categories will be in anchor mode","Newly imported categories will be in anchor mode"
"Pimgento_Api::Newly imported categories categories will be included in menu","Newly imported categories categories will be included in menu"
"Pimgento_Api::Include new categories in menu","Include new categories in menu"
"Pimgento_Api::Init default groups","Init default groups"
"Pimgento_Api::Init stock","Init stock"
"Pimgento_Api::Label for '%1' in %2 is missing. ","Label for '%1' in %2 is missing. "
"Pimgento_Api::Link configurable with children","Link configurable with children"
"Pimgento_Api::Lower or equals than on all locales","Lower or equals than on all locales"
"Pimgento_Api::Lower or equals than","Lower or equals than"
"Pimgento_Api::Lower than on all locales","Lower than on all locales"
"Pimgento_Api::Lower than","Lower than"
"Pimgento_Api::Magento Attribute","Magento Attribute"
"Pimgento_Api::Magento versions greater than EE 1.13 have asynchronous indexing, index can be disabled","Magento versions greater than EE 1.13 have asynchronous indexing, index can be disabled"
"Pimgento_Api::Magento","Magento"
"Pimgento_Api::Match family code with Magento ID","Match family code with Magento ID"
"Pimgento_Api::Match Magento website with Pim channel","Match Magento website with Pim channel"
"Pimgento_Api::Match PIM code with entity","Match PIM code with entity"
"Pimgento_Api::Match PIM code with Magento entity ID","Match PIM code with Magento entity ID"
"Pimgento_Api::Match PIM family code with Magento group id","Match PIM family code with Magento group id"
"Pimgento_Api::Match PIM type with Magento logic","Match PIM type with Magento logic"
"Pimgento_Api::Match specific Pim attribute type with Magento any default field type","Match specific Pim attribute type with Magento any default field type"
"Pimgento_Api::Media import is not enabled","Media import is not enabled"
"Pimgento_Api::Mode","Mode"
"Pimgento_Api::Must be a value between 1 and 100. Default value is 100.","Must be a value between 1 and 100. Default value is 100."
"Pimgento_Api::No Attribute data to insert in temp table","No Attribute data to insert in temp table"
"Pimgento_Api::No axes for code: %s","No axes for code: %s"
"Pimgento_Api::No cache to clear for import: %s","No cache to clear for import: %s"
"Pimgento_Api::No Category data to insert in temp table","No Category data to insert in temp table"
"Pimgento_Api::No condition","No condition"
"Pimgento_Api::No eav entity attribute set for axis: %s","No eav entity attribute set for axis: %s"
"Pimgento_Api::No Family data to insert in temp table","No Family data to insert in temp table"
"Pimgento_Api::No label %s set for attribute %s","No label %s set for attribute %s"
"Pimgento_Api::No labels for %s locale","No labels for %s locale"
"Pimgento_Api::No Magento attribute matches axis: %s","No Magento attribute matches axis: %s"
"Pimgento_Api::No option could be found with all required values.","No option could be found with all required values."
"Pimgento_Api::No Option data to insert in temp table","No Option data to insert in temp table"
"Pimgento_Api::No Product data to insert in temp table","No Product data to insert in temp table"
"Pimgento_Api::No Product data to insert in temp table for scope: %s","No Product data to insert in temp table for scope: %s"
"Pimgento_Api::No results retrieved from Akeneo for %s import","No results retrieved from Akeneo for %s import"
"Pimgento_Api::No results retrieved from Akeneo","No results retrieved from Akeneo"
"Pimgento_Api::No url_key set for category %s","No url_key set for category %s"
"Pimgento_Api::No website/channel mapped. Please check your configurations.","No website/channel mapped. Please check your configurations."
"Pimgento_Api::No","No"
"Pimgento_Api::None","None"
"Pimgento_Api::Only available on Pim Enterprise","Only available on Pim Enterprise"
"Pimgento_Api::Option Values set successfully.","Option Values set successfully."
"Pimgento_Api::Options set successfully.","Options set successfully."
"Pimgento_Api::Pagination size","Pagination size"
"Pimgento_Api::Password","Password"
"Pimgento_Api::PIM Asset Attributes is empty","PIM Asset Attributes is empty"
"Pimgento_Api::PIM Asset Attributes","PIM Asset Attributes"
"Pimgento_Api::Pim Attribute","Pim Attribute"
"Pimgento_Api::PIM attributes to use for main images","PIM attributes to use for main images"
"Pimgento_Api::PIM attributes to use for product gallery","PIM attributes to use for product gallery"
"Pimgento_Api::PIM Images Attributes is empty","PIM Images Attributes is empty"
"Pimgento_Api::PIM Images Attributes","PIM Images Attributes"
"Pimgento_Api::Pim","Pim"
"Pimgento_Api::Pimgento API","Pimgento API"
"Pimgento_Api::Please select an Akeneo version in Api configuration","Please select an Akeneo version in Api configuration"
"Pimgento_Api::Prefix reserved attributes","Prefix reserved attributes"
"Pimgento_Api::Prepare categories level","Prepare categories level"
"Pimgento_Api::Prepare categories position","Prepare categories position"
"Pimgento_Api::Price","Price"
"Pimgento_Api::Product Filters","Product Filters"
"Pimgento_Api::Product Images Mapping","Product Images Mapping"
"Pimgento_Api::Product Model Axes updated","Product Model Axes updated"
"Pimgento_Api::Product Model table updated successfully.","Product Model table updated successfully."
"Pimgento_Api::Product Model","Product Model"
"Pimgento_Api::Product Settings","Product Settings"
"Pimgento_Api::Product","Product"
"Pimgento_Api::Reindex Data","Reindex Data"
"Pimgento_Api::Reindex is disabled","Reindex is disabled"
"Pimgento_Api::Reindex successful for %s import","Reindex successful for %s import"
"Pimgento_Api::Remove columns from product model table","Remove columns from product model table"
"Pimgento_Api::Secret","Secret"
"Pimgento_Api::Select the channel to apply the completeness filter on","Select the channel to apply the completeness filter on"
"Pimgento_Api::Select the families you don't want to retrieve products from. If the multiselect is empty, it means you don't have any families in your Akeneo, or the provided credentials are wrong.","Select the families you don't want to retrieve products from. If the multiselect is empty, it means you don't have any families in your Akeneo, or the provided credentials are wrong."
"Pimgento_Api::Select the locales to apply the completeness filter on","Select the locales to apply the completeness filter on"
"Pimgento_Api::Set Magento Admin website default Pim channel","Set Magento Admin website default Pim channel"
"Pimgento_Api::Set products to categories","Set products to categories"
"Pimgento_Api::Set products to websites","Set products to websites"
"Pimgento_Api::Set Url Rewrite","Set Url Rewrite"
"Pimgento_Api::Set values to attributes","Set values to attributes"
"Pimgento_Api::Since last n days","Since last n days"
"Pimgento_Api::Standard","Standard"
"Pimgento_Api::Status","Status"
"Pimgento_Api::Step skipped.","Step skipped."
"Pimgento_Api::Temporary table created successfully for %s import","Temporary table created successfully for %s import"
"Pimgento_Api::Temporary table created successfully","Temporary table created successfully"
"Pimgento_Api::Temporary table creation failed for %s import","Temporary table creation failed for %s import"
"Pimgento_Api::Temporary table creation failed","Temporary table creation failed"
"Pimgento_Api::Temporary table drop successful","Temporary table drop successful"
"Pimgento_Api::Test API credentials","Test API credentials"
"Pimgento_Api::Test","Test"
"Pimgento_Api::Unknown","Unknown"
"Pimgento_Api::Update Axes column","Update Axes column"
"Pimgento_Api::Update column name","Update column name"
"Pimgento_Api::Update column values for options","Update column values for options"
"Pimgento_Api::Update Product Model","Update Product Model"
"Pimgento_Api::Update related, up-sell and cross-sell products","Update related, up-sell and cross-sell products"
"Pimgento_Api::Update URL keys","Update URL keys"
"Pimgento_Api::Updated","Updated"
"Pimgento_Api::Updated after","Updated after"
"Pimgento_Api::Updated before","Updated before"
"Pimgento_Api::Updated mode","Updated mode"
"Pimgento_Api::Updated since","Updated since"
"Pimgento_Api::User","User"
"Pimgento_Api::Value","Value"
"Pimgento_Api::Values set successfully for %s import","Values set successfully for %s import"
"Pimgento_Api::Variant Axes updated","Variant Axes updated"
"Pimgento_Api::Version","Version"
"Pimgento_Api::Website mapping","Website mapping"
"Pimgento_Api::Website","Website"
"Pimgento_Api::Yes","Yes"
"Pimgento_Api::Your Akeneo User Name","Your Akeneo User Name"
"Pimgento_Api::Your Akeneo User Password","Your Akeneo User Password"
